file,class,,cbo,loc,wmc,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\skyframe\serialization\HashMapCodecTest.java,com.google.devtools.build.lib.skyframe.serialization.HashMapCodecTest,,6,30,5,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\concurrent\BlazeInterners.java,com.google.devtools.build.lib.concurrent.BlazeInterners,,3,24,5,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\exec\SpawnLogReconstructor.java,com.google.devtools.build.lib.exec.SpawnLogReconstructor$Input,,2,6,3,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\serialization\ProfileRecorder.java,com.google.devtools.build.lib.skyframe.serialization.ProfileRecorder,,3,22,6,,,,,,,,,
C:\oodass1\projects\bazel\src\java_tools\junitrunner\java\com\google\testing\junit\runner\util\TestIntegrationsRunnerIntegration.java,com.google.testing.junit.runner.util.TestIntegrationsRunnerIntegration$NoOpCallback,,3,5,1,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\packages\RequiredProviders.java,com.google.devtools.build.lib.packages.RequiredProviders,,11,184,26,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\runtime\commands\info\InfoItemHandler.java,com.google.devtools.build.lib.runtime.commands.info.InfoItemHandler$InfoItemHandlerFactory,,3,3,1,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\rules\AliasConfiguredTarget.java,com.google.devtools.build.lib.rules.AliasConfiguredTarget,,28,83,25,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\remote\CombinedCacheClientFactoryTest.java,com.google.devtools.build.lib.remote.CombinedCacheClientFactoryTest,,13,111,21,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\classfile\attribute\module\visitor\ExportsInfoVisitor.java,proguard.classfile.attribute.module.visitor.ExportsInfoVisitor,,2,3,1,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\analysis\starlark\StarlarkLateBoundDefault.java,com.google.devtools.build.lib.analysis.starlark.StarlarkLateBoundDefault$CacheKey,,2,24,5,,,,,,,,,
